año,financiación,programa,Servicio,SUELDOS DOCENTES,SUELDOS NO DOCENTES,OTROS,TOTAL SUELDOS,GASTOS,SUMINISTROS,INVERSIONES,TOTAL
2022,1.2 Adicional Fondo Solidaridad,352,PAI,,,,,0,,41389446,41389446
2022,1.1 Rentas Generales,347,Agronomía,474561410,256574652,10928328,742064390,11689093,32357262,7826616,793937361
2022,1.1 Rentas Generales,347,Arquitectura,397948370,123734418,11300952,532983740,3037938,10500959,5077347,551599984
2022,1.1 Rentas Generales,347,Cs. Económicas,445774060,136767379,10842184,593383623,6369840,9698237,5428894,614880594
2022,1.1 Rentas Generales,347,Derecho,366280762,161328531,9372544,536981837,2828454,6150663,4678077,550639031
2022,1.1 Rentas Generales,347,Ingeniería,735632505,150299491,11537878,897469874,5428628,20155158,7000490,930054150
2022,1.1 Rentas Generales,347,Medicina,716058799,251322706,17409284,984790789,4643963,15421736,8007029,1012863517
2022,1.1 Rentas Generales,347,Inst. Higiene,219897,90123241,1507136,91850274,952041,10355080,1203051,104360446
2022,1.1 Rentas Generales,347,Odontología,236880905,131124376,8317424,376322705,2934070,9356811,4679528,393293114
2022,1.1 Rentas Generales,347,Química,449962025,94922499,7112429,551996953,4678854,15159676,4619773,576455256
2022,1.1 Rentas Generales,347,Veterinaria,360255388,153584114,7824638,521664140,4709680,16695965,6877437,549947222
2022,1.1 Rentas Generales,347,Humanidades,254369642,86499980,5446525,346316147,1857968,4437010,2556440,355167565
2022,1.1 Rentas Generales,347,Hosp. de Clínicas,547191224,0,10238379,557429603,0,0,0,557429603
2022,1.1 Rentas Generales,347,Artes,197603048,60505602,4613477,262722127,4425175,1319499,4756383,273223184
2022,1.1 Rentas Generales,347,Psicología,285217106,87968642,5739368,378925116,2300986,3835566,3623592,388685260
2022,1.1 Rentas Generales,347,Enfermería,195633729,59529743,5096611,260260083,2390603,2353939,3083092,268087717
2022,1.1 Rentas Generales,347,Cs. Sociales,392062471,101314357,6010749,499387577,4362269,4671630,2803895,511225371
2022,1.1 Rentas Generales,347,Ciencias,638504341,111141171,8640482,758285994,3601527,15999483,5492287,783379291
2022,1.1 Rentas Generales,347,FIC,179424029,48793079,3388494,231605602,3803312,230008,4189882,239828804
2022,1.1 Rentas Generales,347,Ofic. Centrales,194511678,511792888,26477137,732781703,106448655,30337119,14757646,884325123
2022,1.1 Rentas Generales,347,C. y T. Alimentos,3407916,1679583,0,5087499,48477,0,0,5135976
2022,1.1 Rentas Generales,347,ISEF,147114733,50042508,0,197157241,2407335,2728883,1075655,203369114
2022,1.1 Rentas Generales,347,Esc. Nutrición,83110433,23199274,0,106309707,2295376,0,996428,109601511
2022,1.1 Rentas Generales,347,CSIC,374675632,10647690,0,385323322,4326427,0,29659747,419309496
2022,1.1 Rentas Generales,347,CSAP,18199053,0,0,18199053,164963973,0,0,183163026
2022,1.1 Rentas Generales,347,CSEAM,108068047,2990675,0,111058722,1936972,0,7045668,120041362
2022,1.1 Rentas Generales,347,CSE,77914825,10471382,0,88386207,0,0,15146037,103532244
2022,1.1 Rentas Generales,347,Educación Permanente,27819862,27917,0,27847779,29743,0,21496,27899018
2022,1.1 Rentas Generales,347,APEX,22118789,12743326,0,34862115,0,0,0,34862115
2022,1.1 Rentas Generales,347,Com. Central de DT,0,0,0,0,284624,0,205701,490325
2022,1.1 Rentas Generales,347,Servicio de Relaciones Internacionales,16797605,0,0,16797605,2057565,0,179298,19034468
2022,1.1 Rentas Generales,347,PCAB,0,1034779,0,1034779,41714,0,5656690,6733183
2022,1.1 Rentas Generales,347,CAI - Com. Asuntos Internacionales,21941715,1026854,0,22968569,406336,0,293664,23668569
2022,1.1 Rentas Generales,347,Espacio Interdisciplinario,35607519,10235358,0,45842877,0,0,2500000,48342877
2022,1.1 Rentas Generales,347,Unidad 50,0,0,0,0,0,0,0,0
2022,1.1 Rentas Generales,347,DT y Art.95,218776763,0,0,218776763,81372896,0,0,300149659
2022,1.1 Rentas Generales,347,Progresivo Doc.,12932594,0,0,12932594,0,0,0,12932594
2022,1.1 Rentas Generales,347,Antigüedad No Doc.,0,6001049,0,6001049,0,0,0,6001049
2022,1.1 Rentas Generales,347,Decretos 203/92 y 221/93,0,0,2111915,2111915,0,0,0,2111915
2022,1.1 Rentas Generales,347,Beneficios Sociales,0,0,27353841,27353841,0,0,0,27353841
2022,1.1 Rentas Generales,347,Reserva Redistribuídos,0,1423754,0,1423754,0,0,0,1423754
2022,1.1 Rentas Generales,347,Ap. Patr. Diferencial,0,0,9446670,9446670,0,0,0,9446670
2022,1.1 Rentas Generales,347,Ap. Patr. SNIS FLD,0,0,4195240,4195240,0,0,0,4195240
2022,1.1 Rentas Generales,347,Incr. Suministros,0,0,0,0,0,70758587,0,70758587
2022,1.1 Rentas Generales,347,Difer. de Actualizador,0,0,26262312,26262312,35912,0,0,26298224
2022,1.1 Rentas Generales,347,Carr.Doc.- EH y LLOA - Incr.2013,182204,0,0,182204,0,0,0,182204
2022,1.1 Rentas Generales,347,Carr.Doc.- Creac. y EH - Incr.2016,336335,0,0,336335,0,0,0,336335
2022,1.1 Rentas Generales,347,Carr.Doc.- EH a 30hs. - Incr.2017,158602,0,0,158602,0,0,0,158602
2022,1.1 Rentas Generales,347,Carr.Doc.- Nvo. LLOA,55635292,0,0,55635292,0,0,0,55635292
2022,1.1 Rentas Generales,347,Carr.No Doc.- Saldo,0,1561113,0,1561113,0,0,0,1561113
2022,1.1 Rentas Generales,347,Carr.No Doc.- Concursos Asc. Niv. Oper.,0,6189400,0,6189400,0,0,0,6189400
2022,1.1 Rentas Generales,347,Nuevos Planes y Carreras (1/3 c/Área),28452261,0,0,28452261,0,0,0,28452261
2022,1.1 Rentas Generales,347,Reintegro Ejercicio Anterior,71789,25222300,0,25294089,0,0,0,25294089
2022,1.1 Rentas Generales,347,L.19996 A.276 - Generac. y Prod. Vacunas u/v,0,0,5600000,5600000,1400000,0,0,7000000
2022,1.1 Rentas Generales,347,L.19996 A.278 - Ens. Gdo. Plataformas Digitales,0,0,5000000,5000000,0,0,20000000,25000000
2022,1.1 Rentas Generales,347,Incr. Sueldos DOCENTE - LB,200000000,0,0,200000000,0,0,0,200000000
2022,1.1 Rentas Generales,347,Incr. Centros o Institutos Centrales - LB,0,0,90000000,90000000,0,0,0,90000000
2022,1.1 Rentas Generales,348,Gestión,55008225,58819507,1566150,115393882,198598,0,5796223,121388703
2022,1.1 Rentas Generales,348,Com. Evaluación Interna y Acreditación,20399963,0,0,20399963,1857895,0,6258655,28516513
2022,1.1 Rentas Generales,348,Partidas Centrales,4735668,4881212,6264600,15881480,484229,0,349957,16715666
2022,1.1 Rentas Generales,348,UCUR,5403924,21750236,0,27154160,650138,0,689862,28494160
2022,1.1 Rentas Generales,348,Fondo para Imprevistos,0,0,17764488,17764488,0,0,0,17764488
2022,1.1 Rentas Generales,349,Agronomía,0,24582901,918658,25501559,0,0,0,25501559
2022,1.1 Rentas Generales,349,Arquitectura,0,10871061,479595,11350656,0,0,0,11350656
2022,1.1 Rentas Generales,349,Cs. Económicas,0,13843255,2768,14120055,0,0,0,14120055
2022,1.1 Rentas Generales,349,Derecho,0,16131902,364135,16496037,0,0,0,16496037
2022,1.1 Rentas Generales,349,Ingeniería,0,14247888,56555,14813438,0,0,0,14813438
2022,1.1 Rentas Generales,349,Medicina,0,26525719,905539,27431258,0,0,0,27431258
2022,1.1 Rentas Generales,349,Inst. Higiene,0,6882434,211719,7094153,0,0,0,7094153
2022,1.1 Rentas Generales,349,Odontología,0,13276581,367131,13643712,0,0,0,13643712
2022,1.1 Rentas Generales,349,Química,0,6199011,59082,6789831,0,0,0,6789831
2022,1.1 Rentas Generales,349,Veterinaria,0,16920742,486011,17406753,0,0,0,17406753
2022,1.1 Rentas Generales,349,Humanidades,0,7247577,225968,7473545,0,0,0,7473545
2022,1.1 Rentas Generales,349,Hosp. de Clínicas,0,221286141,2800955,224087096,0,0,0,224087096
2022,1.1 Rentas Generales,349,Artes,0,4982959,315011,5297970,0,0,0,5297970
2022,1.1 Rentas Generales,349,Psicología,0,7780083,430222,8210305,0,0,0,8210305
2022,1.1 Rentas Generales,349,Enfermería,0,5970557,263831,6234388,0,0,0,6234388
2022,1.1 Rentas Generales,349,Cs. Sociales,0,7867598,354449,8222047,0,0,0,8222047
2022,1.1 Rentas Generales,349,Ciencias,0,8652522,623996,9276518,0,0,0,9276518
2022,1.1 Rentas Generales,349,FIC,0,6532141,75034,6607175,0,0,0,6607175
2022,1.1 Rentas Generales,349,CURE,0,6045144,33972,6079116,0,0,0,6079116
2022,1.1 Rentas Generales,349,CENUR Litoral Norte,0,9945613,579877,10525490,0,0,0,10525490
2022,1.1 Rentas Generales,349,Ofic. Centrales,0,73086541,1625472,74712013,0,0,0,74712013
2022,1.1 Rentas Generales,349,Bienestar Estudiantes,0,39505675,0,39505675,84052414,4325421,2040485,129923995
2022,1.1 Rentas Generales,349,Bienestar Funcionarios,7316210,117023429,0,124339639,1576440,0,2896117,128812196
2022,1.1 Rentas Generales,349,Gestión - PCETMALUR,2866413,0,0,2866413,2712500,0,7800000,13378913
2022,1.1 Rentas Generales,349,Gestión - Retiro Incentivado,0,15254082,0,15254082,0,0,0,15254082
2022,1.1 Rentas Generales,349,Bienestar Estud. y Func.,5202318,11964700,0,17167018,6479350,0,500,24146368
2022,1.1 Rentas Generales,349,L.19996 A.279 - Becas de grado,0,0,0,0,25000000,0,0,25000000
2022,1.1 Rentas Generales,349,Cuota Mutual,0,0,8454677,8454677,0,0,0,8454677
2022,1.1 Rentas Generales,349,Incr. C.Alimentación suplentes de HC - LB,0,8000000,0,8000000,0,0,0,8000000
2022,1.1 Rentas Generales,349,Incr. Sist. de Cuidados Infancia - LB,0,0,0,0,7500000,0,7500000,15000000
2022,1.1 Rentas Generales,350,Hospital de Clínicas,0,1909852446,38589525,1948441971,270069660,75985549,115645722,2410142902
2022,1.1 Rentas Generales,350,L.19996 A.277- Prog. Rápida Res. Cáncer Mama,0,0,19495025,19495025,1306536,0,2613071,23414632
2022,1.1 Rentas Generales,350,L.19996 A.277- Unidad de Cirugía Ambulatoria,0,0,5309758,5309758,758536,0,1517074,7585368
2022,1.1 Rentas Generales,350,L.19996 A.277- Prog. Rehabilit. Física Integral,0,0,6000000,6000000,0,0,6000000,12000000
2022,1.1 Rentas Generales,351,CCI,494995410,86161509,0,581156919,23908340,0,1962,605261459
2022,1.1 Rentas Generales,351,CENUR Noreste - TAS Asc. Nivel Operativo,0,329497,0,329497,0,0,0,329497
2022,1.1 Rentas Generales,351,L.19924 A.573 - CCI Sdos.Docentes,33933250,0,0,33933250,0,0,0,33933250
2022,1.1 Rentas Generales,351,L.19924 A.573 - CCI Sdos.TAS - CURE,0,5685125,0,5685125,0,0,0,5685125
2022,1.1 Rentas Generales,351,L.19924 A.573 - CCI Sdos.TAS - C. Litoral Norte,0,4651466,0,4651466,0,0,0,4651466
2022,1.1 Rentas Generales,351,L.19924 A.573 - CCI Sdos.TAS - C. Noreste,0,6891060,0,6891060,0,0,0,6891060
2022,1.1 Rentas Generales,351,CURE,118209051,78474436,2571933,199255420,8915967,6346920,1146200,215664507
2022,1.1 Rentas Generales,351,CENUR Litoral Norte,243147079,125740471,6716319,375603869,13919554,3978472,1995316,395497211
2022,1.1 Rentas Generales,352,POMLP,0,49362401,0,49362401,0,0,210865224,260227625
2022,1.1 Rentas Generales,352,POR,3229764,29154751,0,32384515,0,0,24079646,56464161
2022,1.1 Rentas Generales,352,PAI,0,0,0,0,0,0,0,0
2022,1.1 Rentas Generales,355,Reserva Sal. Vacacional,0,0,365439269,365439269,0,0,0,365439269
2022,1.1 Rentas Generales,355,Reserva Sal. Vacacional - Doc.,23468515,0,0,23468515,0,0,0,23468515
2022,1.2 Recursos genuinos de los servicios,347,Agronomía,8913146,,,,22625209,,11591110,43129465
2022,1.2 Recursos genuinos de los servicios,347,Arquitectura,28069505,,,,636328,,709835,29415668
2022,1.2 Recursos genuinos de los servicios,347,Cs. Económicas,13774281,,,,799404,,6663162,21236847
2022,1.2 Recursos genuinos de los servicios,347,Derecho,10965052,,,,1252296,,1855089,14072437
2022,1.2 Recursos genuinos de los servicios,347,Ingeniería,76554434,,,,13859114,,15769274,106182822
2022,1.2 Recursos genuinos de los servicios,347,Medicina,33103345,,,,2049407,,5716426,40869178
2022,1.2 Recursos genuinos de los servicios,347,Inst. Higiene,1710502,,,,1230399,,2144525,5085426
2022,1.2 Recursos genuinos de los servicios,347,Odontología,14908288,,,,6093656,,5722294,26724238
2022,1.2 Recursos genuinos de los servicios,347,Química,31133730,,,,4874545,,7522969,43531244
2022,1.2 Recursos genuinos de los servicios,347,Veterinaria,7821821,,,,5925157,,2922075,16669053
2022,1.2 Recursos genuinos de los servicios,347,Humanidades,6982684,,,,570112,,1722263,9275059
2022,1.2 Recursos genuinos de los servicios,347,Hosp. de Clínicas,173009621,,,,0,,0,173009621
2022,1.2 Recursos genuinos de los servicios,347,IENBA + EUM,2577449,,,,470981,,463396,3511826
2022,1.2 Recursos genuinos de los servicios,347,Psicología,13093994,,,,1812093,,400386,15306473
2022,1.2 Recursos genuinos de los servicios,347,Enfermería,12135866,,,,215071,,51273,12402210
2022,1.2 Recursos genuinos de los servicios,347,Cs. Sociales,2002478,,,,4196206,,2378916,8577600
2022,1.2 Recursos genuinos de los servicios,347,Ciencias,17326016,,,,4307517,,10244045,31877578
2022,1.2 Recursos genuinos de los servicios,347,FIC,3559594,,,,167824,,43432,3770850
2022,1.2 Recursos genuinos de los servicios,347,Ofic. Centrales,222109840,,,,10985199,,127899970,360995009
2022,1.2 Recursos genuinos de los servicios,347,Unidad 50,182801552,,,,0,,0,182801552
2021,1.1 Rentas Generales,347,Agronomía,450070881,247758669,10703122,708532672,5127437,27076377,7826616,748563102
2021,1.1 Rentas Generales,347,Arquitectura,376977752,117172671,10604742,504755165,3026272,9026146,5077347,521884930
2021,1.1 Rentas Generales,347,Cs. Económicas,419617661,130749981,10387972,560755614,6365430,8343096,5428894,580893034
2021,1.1 Rentas Generales,347,Derecho,349379427,153043040,8561205,510983672,2865884,5317715,4678077,523845348
2021,1.1 Rentas Generales,347,Ingeniería,693061283,144586250,11125498,848773031,5429778,17404385,7000490,878607684
2021,1.1 Rentas Generales,347,Medicina,673139471,240416001,17006628,930562100,4674086,13223156,8007029,956466371
2021,1.1 Rentas Generales,347,Inst. Higiene,237964,86121233,1467003,87826200,94872,8890469,1203051,98868440
2021,1.1 Rentas Generales,347,Odontología,226650013,125272451,8023948,359946412,2929236,8109891,4679528,375665067
2021,1.1 Rentas Generales,347,Química,412284810,90833504,6840957,509959271,4690132,12984848,4619773,532254024
2021,1.1 Rentas Generales,347,Veterinaria,344814817,146953696,7490368,499258881,4705402,14224465,6877437,525066185
2021,1.1 Rentas Generales,347,Humanidades,231420202,82428602,4991323,318840127,1869288,3796180,2556440,327062035
2021,1.1 Rentas Generales,347,Hosp. de Clínicas,523043268,0,9679505,532722773,0,0,0,532722773
2021,1.1 Rentas Generales,347,IENBA,139555576,38734107,3061006,181350689,3289770,942237,3224556,188807252
2021,1.1 Rentas Generales,347,EUM,49942788,19182734,1194182,70319704,1138607,190495,1531827,73180633
2021,1.1 Rentas Generales,347,Psicología,268391096,83405226,5453638,357249960,2302882,3287639,3623592,366464073
2021,1.1 Rentas Generales,347,Enfermería,186537691,56606970,4675955,247820616,2395157,2014023,3083092,255312888
2021,1.1 Rentas Generales,347,Cs. Sociales,373124063,97713065,5579362,476416490,4369423,4025549,2803895,487615357
2021,1.1 Rentas Generales,347,Ciencias,596204798,106284180,8171259,710660237,3611817,13730101,5492287,733494442
2021,1.1 Rentas Generales,347,FIC,169256926,46656019,3293052,219205997,3811303,200997,4189882,227408179
2021,1.1 Rentas Generales,347,Ofic. Centrales,165415484,487314814,25765049,678495347,51872765,25845401,14757646,770971159
2021,1.1 Rentas Generales,347,C. y T. Alimentos,4866884,1608641,0,6475525,48477,0,0,6524002
2021,1.1 Rentas Generales,347,ISEF,135038657,45163422,8558163,188760242,2417527,2347263,1075655,194600687
2021,1.1 Rentas Generales,347,Esc. Nutrición,80666329,22932452,0,103598781,2301313,0,996428,106896522
2021,1.1 Rentas Generales,347,CSIC,358850333,10197960,0,369048293,4326427,0,29659747,403034467
2021,1.1 Rentas Generales,347,CSAP,164994514,0,0,164994514,0,0,0,164994514
2021,1.1 Rentas Generales,347,CSEAM,103503541,2864357,0,106367898,1936972,0,7045668,115350538
2021,1.1 Rentas Generales,347,CSE,74623911,10029099,0,84653010,0,0,15146037,99799047
2021,1.1 Rentas Generales,347,Educación Permanente,26644825,26738,0,26671563,29743,0,21496,26722802
2021,1.1 Rentas Generales,347,APEX,21184550,12205082,0,33389632,0,0,0,33389632
2021,1.1 Rentas Generales,347,Com. Central de DT,0,0,0,0,284624,0,205701,490325
2021,1.1 Rentas Generales,347,Servicio de Relaciones Internacionales,16088119,0,0,16088119,2057565,0,179298,18324982
2021,1.1 Rentas Generales,347,PCAB,0,991073,0,991073,41714,0,5656690,6689477
2021,1.1 Rentas Generales,347,R.12 CDC 26/06/18 Ordenanza  CAI - Com. Asuntos Internacionales,21014955,983483,0,21998438,406336,0,293664,22698438
2021,1.1 Rentas Generales,347,Espacio Interdisciplinario,34103552,9803044,0,43906596,0,0,2500000,46406596
2021,1.1 Rentas Generales,347,Unidad 50,0,0,0,0,54315338,0,0,54315338
2021,1.1 Rentas Generales,347,DT y Art.57,308594337,0,0,308594337,0,0,0,308594337
2021,1.1 Rentas Generales,347,Progresivo Doc.,24926178,0,0,24926178,0,0,0,24926178
2021,1.1 Rentas Generales,347,Antigüedad No Doc.,0,6688983,0,6688983,0,0,0,6688983
2021,1.1 Rentas Generales,347,Decretos 203/92 y 221/93,0,0,2648254,2648254,0,0,0,2648254
2021,1.1 Rentas Generales,347,Beneficios Sociales,0,0,24399804,24399804,0,0,0,24399804
2021,1.1 Rentas Generales,347,Reserva Redistribuídos,0,1363618,0,1363618,0,0,0,1363618
2021,1.1 Rentas Generales,347,Ap. Patr. Diferencial,0,0,9047668,9047668,0,0,0,9047668
2021,1.1 Rentas Generales,347,Ap. Patr. SNIS FLD,0,0,4018045,4018045,0,0,0,4018045
2021,1.1 Rentas Generales,347,Incr. Suministros,0,0,0,0,0,59465241,0,59465241
2021,1.1 Rentas Generales,347,Difer. de Actualizador,0,0,24491203,24491203,35912,0,0,24527115
2021,1.1 Rentas Generales,347,Carr.Doc.- EH y LLOA - Incr.2013 (Áreas),446869,0,0,446869,0,0,0,446869
2021,1.1 Rentas Generales,347,Carr.Doc.- Creac. y EH - Incr.2016 (Áreas),497275,0,0,497275,0,0,0,497275
2021,1.1 Rentas Generales,347,Carr.Doc.- EH a 30hs. - Incr.2017 (Áreas),946561,0,0,946561,0,0,0,946561
2021,1.1 Rentas Generales,347,Carr.Doc.- Nvo. LLOA,77610403,0,0,77610403,0,0,0,77610403
2021,1.1 Rentas Generales,347,Carr.No Doc.- Saldo,0,1495176,0,1495176,0,0,0,1495176
2021,1.1 Rentas Generales,347,Carr.No Doc.- Concursos Asc. Niv. Oper.,0,12050490,0,12050490,0,0,0,12050490
2021,1.1 Rentas Generales,347,Nuevos Planes y Carreras (1/3 c/Área),27250513,0,0,27250513,0,0,0,27250513
2021,1.1 Rentas Generales,347,Reintegro Ejercicio Anterior,8886188,24156978,0,33043166,1565225,0,0,34608391
2021,1.1 Rentas Generales,347,Pendiente distribución LB,0,0,38739160,38739160,161203745,0,48584507,248527412
2021,1.1 Rentas Generales,348,Ofic. Centrales,62349995,66669957,0,129019952,198598,0,5796223,135014773
2021,1.1 Rentas Generales,348,Com. Evaluación Interna y Acreditación,19538323,0,0,19538323,1857895,0,6258655,27654873
2021,1.1 Rentas Generales,348,Partidas Centrales,4535646,4675043,0,9210689,484229,0,349957,10044875
2021,1.1 Rentas Generales,348,UCUR,5175677,20831564,0,26007241,650138,0,689862,27347241
2021,1.1 Rentas Generales,348,Participación y Cogobierno,11265129,861835,0,12126964,0,0,0,12126964
2021,1.1 Rentas Generales,348,Unidad 50,0,0,8057199,8057199,0,0,0,8057199
2021,1.1 Rentas Generales,348,"Creaciones - BU, PEyE y NP - Incr.2017",0,0,4291470,4291470,0,0,0,4291470
2021,1.1 Rentas Generales,349,Agronomía,0,23544585,1639841,25184426,0,0,0,25184426
2021,1.1 Rentas Generales,349,Arquitectura,0,10411896,723541,11135437,0,0,0,11135437
2021,1.1 Rentas Generales,349,Cs. Económicas,0,13258553,408072,13666625,0,0,0,13666625
2021,1.1 Rentas Generales,349,Derecho,0,15450534,631286,16081820,0,0,0,16081820
2021,1.1 Rentas Generales,349,Ingeniería,0,13646095,924103,14570198,0,0,0,14570198
2021,1.1 Rentas Generales,349,Medicina,0,25405344,1427571,26832915,0,0,0,26832915
2021,1.1 Rentas Generales,349,Inst. Higiene,0,6591738,298474,6890212,0,0,0,6890212
2021,1.1 Rentas Generales,349,Odontología,0,12715814,532491,13248305,0,0,0,13248305
2021,1.1 Rentas Generales,349,Química,0,5937181,826955,6764136,0,0,0,6764136
2021,1.1 Rentas Generales,349,Veterinaria,0,16206055,855562,17061617,0,0,0,17061617
2021,1.1 Rentas Generales,349,Humanidades,0,6941458,451935,7393393,0,0,0,7393393
2021,1.1 Rentas Generales,349,Hosp. de Clínicas,0,211939604,3993303,215932907,0,0,0,215932907
2021,1.1 Rentas Generales,349,IENBA,0,2940073,463254,3403327,0,0,0,3403327
2021,1.1 Rentas Generales,349,EUM,0,1832419,0,1832419,0,0,0,1832419
2021,1.1 Rentas Generales,349,Psicología,0,7451473,734443,8185916,0,0,0,8185916
2021,1.1 Rentas Generales,349,Enfermería,0,5718376,395203,6113579,0,0,0,6113579
2021,1.1 Rentas Generales,349,Cs. Sociales,0,7535292,462715,7998007,0,0,0,7998007
2021,1.1 Rentas Generales,349,Ciencias,0,8287063,877239,9164302,0,0,0,9164302
2021,1.1 Rentas Generales,349,FIC,0,6256241,133068,6389309,0,0,0,6389309
2021,1.1 Rentas Generales,349,CURE,0,5789813,40419,5830232,0,0,0,5830232
2021,1.1 Rentas Generales,349,CENUR Litoral Norte,0,9525537,718356,10243893,0,0,0,10243893
2021,1.1 Rentas Generales,349,Ofic. Centrales,0,69999561,2998089,72997650,0,0,0,72997650
2021,1.1 Rentas Generales,349,Bienestar Estudiantes,0,37837061,0,37837061,64052414,3675248,2040485,107605208
2021,1.1 Rentas Generales,349,Bienestar Funcionarios,7007192,112080671,0,119087863,1576440,0,2896117,123560420
2021,1.1 Rentas Generales,349,Gestión - PCETMALUR,2745344,0,0,2745344,2712500,0,7800000,13257844
2021,1.1 Rentas Generales,349,Gestón - Retiro Incentivado,0,14609791,0,14609791,0,0,0,14609791
2021,1.1 Rentas Generales,349,Bienestar Estud. y Func.,4982586,11459343,0,16441929,5809350,0,500,22751279
2021,1.1 Rentas Generales,349,Cuota Mutual,0,0,528651,528651,0,0,0,528651
2021,1.1 Rentas Generales,349,Ley 19924 Art.574 - Becas,0,0,0,0,20000000,0,0,20000000
2021,1.1 Rentas Generales,350,CCI,474088124,82522276,0,556610400,23908340,0,1962,580714940
2021,1.1 Rentas Generales,350,Ley 19924 Art.573 - Oferta Educ. Noreste,0,0,10000000,10000000,0,0,0,10000000
2021,1.1 Rentas Generales,350,CURE,111699769,75037330,2236580,188973679,8964942,5461769,1146200,204546590
2021,1.1 Rentas Generales,350,CENUR Litoral Norte,204323459,119947257,5383453,329654169,13966942,3371283,1995316,348987710
2021,1.1 Rentas Generales,351,POMLP,0,47277464,0,47277464,0,0,268978441,316255905
2021,1.1 Rentas Generales,351,POR,3093347,27923332,0,31016679,0,0,24079646,55096325
2021,1.1 Rentas Generales,355,Reserva Sal. Vacacional,0,0,350004089,350004089,0,0,0,350004089
2021,1.1 Rentas Generales,355,Reserva Sal. Vacacional - Doc.,22477267,0,0,22477267,0,0,0,22477267
2021,1.2 Recursos genuinos de los servicios,347,Agronomía,8913146,,,,22625209,,11591110,43129465
2021,1.2 Recursos genuinos de los servicios,347,Arquitectura,28069505,,,,636328,,709835,29415668
2021,1.2 Recursos genuinos de los servicios,347,Cs. Económicas,13774281,,,,799404,,6663162,21236847
2021,1.2 Recursos genuinos de los servicios,347,Derecho,10965052,,,,1252296,,1855089,14072437
